-0.3563,0.0269,0
0.5837,-0.2058,1
0.4612,0.2408,1
-0.7329,0.0597,0
0.4151,-0.4548,1
0.3834,0.9378,1
-0.323,-0.0012,0
0.2979,-0.7821,0
-0.6821,-0.248,0
0.1763,0.416,1
0.4566,0.3832,1
0.7335,0.2662,1
0.8599,-0.0453,1
-0.3796,-0.626,0
-0.7954,0.241,0
-0.1501,0.5517,1
-0.4719,0.8307,1
-0.5918,-0.4772,0
-0.3362,-0.7978,0
0.9991,-0.9916,1
0.9179,-0.6839,1
-0.4473,-0.7722,0
0.603,-0.0009,1
-0.9165,0.1066,0
-0.3064,0.3166,1
0.9376,-0.2047,1
0.181,0.0364,1
0.7199,0.8004,1
-0.7777,-0.8919,0
-0.1282,0.2022,1
0.9305,-0.8697,1
0.1918,0.196,1
0.3397,-0.97,0
0.578,0.9161,1
-0.6192,0.4716,0
0.0539,0.0884,1
-0.509,0.8559,1
0.145,0.1442,1
-0.9313,-0.4727,0
-0.0664,-0.2859,0
